Participant #,Condition,Time to Rescue 1st Hostage,,Time to Rescue 2nd Hostage,,Time to Rescue 3rd Hostage,,Time to Rescue 4th Hostage,,Time to Rescue 5th Hostage,,Time to Rescue 6th Hostage,,Time to Rescue 7th Hostage,,Time to Rescue 8th Hostage,,Time to Rescue 9th Hostage,,Time to Rescue 10th Hostage,,Time to Rescue 11th Hostage,,Time to Rescue 12th Hostage,,Time to Rescue 13th Hostage,,Time to Rescue 14th Hostage,,Time to Rescue 15th Hostage,,Time to Rescue 16th Hostage,,
001,MESSAGE,00:21,,00:20,,00:26,,00:41,,04:32,,00:27,,00:28,,00:17,,00:27,,01:53,,00:14,,00:22,,00:17,,00:40,,03:27,,01:08,,
002,LEADERBOARD,00:10,,3:33,,3:42,,3:28,,1:20,,03:56,,04:22,,04:44,,04:34,,03:17,,03:17,,03:00,,02:30,,02:31,,03:22,,03:15,,
003,LEADERBOARD,00:22,,00:28,,00:28,,00:24,,04:31,,00:27,,00:15,,00:09,,00:51,,01:45,,00:08,,00:29,,00:16,,00:12,,02:00,,00:18,,
004,SCORE,00:08,,00:12,,00:22,,00:23,,05:42,,00:16,,00:19,,00:39,,00:16,,01:22,,00:16,,00:39,,00:16,,00:19,,01:22,,00:04,,
005,NONE,00:16,,00:09,,00:24,,00:25,,03:59,,00:13,,00:10,,00:27,,00:15,,00:20,,00:16,,00:10,,00:16,,00:17,,04:14,,00:07,,
006,NONE,00:05,,00:07,,00:15,,00:55,,05:25,,00:31,,00:08,,00:37,,00:09,,02:21,,00:10,,00:14,,00:08,,00:09,,01:15,,00:05,,
007,NONE,00:10,,00:06,,00:14,,00:24,,02:58,,00:16,,00:21,,00:17,,00:07,,00:56,,00:14,,00:06,,00:13,,00:06,,01:01,,00:03,,
008,SCORE,00:12,,00:08,,00:13,,00:11,,02:43,,00:14,,00:20,,00:23,,00:08,,00:43,,00:07,,00:15,,00:07,,00:12,,04:16,,00:02,,
009,NONE,00:11,,00:05,,00:15,,01:51,,00:11,,00:09,,00:24,,00:15,,00:19,,00:08,,00:15,,00:05,,00:07,,00:47,,00:02,,00:26,,
010,NONE,00:08,,00:05,,00:18,,01:43,,02:45,,00:25,,00:14,,00:10,,00:09,,01:15,,00:11,,00:06,,00:11,,00:09,,01:08,,03:53,,
011,LEADERBOARD,00:42,,00:14,,00:18,,00:27,,03:31,,00:48,,00:20,,00:16,,00:12,,01:28,,00:08,,00:18,,00:17,,00:17,,01:04,,00:03,,
012,NONE,00:17,,00:15,,00:24,,00:57,,02:34,,00:07,,00:54,,00:32,,00:20,,00:14,,00:12,,00:23,,00:33,,00:29,,00:38,,00:08,,
013,NONE,00:15,,00:13,,00:29,,00:35,,02:57,,00:54,,00:36,,00:52,,00:22,,02:47,,00:12,,00:46,,00:16,,04:59,,00:05,,02:12,,
014,LEADERBOARD,00:08,,00:08,,00:16,,00:13,,03:05,,00:17,,00:10,,00:17,,00:08,,00:40,,00:09,,00:05,,00:15,,00:13,,00:41,,00:02,,
015,MESSAGE,00:07,,00:07,,00:27,,01:12,,02:43,,00:15,,00:19,,00:21,,00:10,,00:32,,00:11,,00:06,,00:13,,00:10,,00:51,,00:05,,
016,MESSAGE,00:19,,00:08,,00:24,,00:22,,04:41,,00:08,,00:27,,00:07,,00:30,,00:23,,00:24,,00:14,,00:07,,04:08,,00:04,,01:46,,
017,SCORE,00:33,,00:17,,00:33,,00:30,,03:33,,00:15,,00:23,,00:22,,00:16,,00:17,,00:28,,00:11,,00:37,,00:21,,05:12,,08:41,,
